drop_id,n_charges,measurement,fall_velocity,rise_velocity,radius,charge_const,q_est[C]
8,10,7,3.133375370608542e-05,0.0008483317365715,5.105617294234025e-07,2.738322185613625e-13,1.3483676129341158e-19
8,10,8,2.9112874222027057e-05,0.0008074544350969,4.908099750802068e-07,2.7162574161830446e-13,1.2260674327559543e-19
8,10,9,2.959409241403938e-05,0.0009953777711876,4.951516810359719e-07,2.7212324696271327e-13,1.5173301967618983e-19
8,10,10,2.9732296840612145e-05,0.0013124943517688,4.963921057877664e-07,2.7226406093319937e-13,1.992647162054599e-19
9,6,1,3.625334389891039e-05,0.0005683161083815,5.519712371017288e-07,2.780261499054154e-13,1.6867651905729058e-19
9,6,2,3.244738736072354e-05,0.0006378926581743,5.202037453952047e-07,2.748585387611381e-13,1.749214280370684e-19
9,6,3,3.1123829790727e-05,0.0005611568872593,5.087251837502569e-07,2.7363306427903125e-13,1.506924288374364e-19
9,6,4,3.152867940527419e-05,0.0005078356513223,5.122615892182347e-07,2.7401549131871055e-13,1.3831171877546802e-19
9,6,5,3.011457482527746e-05,0.0004782624012567,4.998083053892985e-07,2.7264887572196385e-13,1.2677298090103074e-19
9,6,6,3.3765033787735724e-05,0.0007023822525887,5.31401897512039e-07,2.760113421341921e-13,1.967768428538025e-19
9,6,7,3.2640753616338095e-05,0.0006175410577745,5.218610705432442e-07,2.750317587029066e-13,1.7027327933660554e-19
9,6,8,3.336858180376474e-05,0.000505819308473,5.280558430398296e-07,2.7567116605677817e-13,1.4310311822900913e-19
9,6,9,3.7485124980854074e-05,0.0004515309005351,5.618933989640318e-07,2.7895346148277607e-13,1.3919802637838213e-19
9,6,10,3.144844405752902e-05,0.0005503973695706,5.115625274677425e-07,2.7394024372339984e-13,1.4897455023791413e-19
10,4,1,3.512921337513601e-05,0.0004414142848226,5.427687074952854e-07,2.7714061421856175e-13,1.9569374520434083e-19
10,4,2,3.083628924464245e-05,0.0003242155352032,5.06199570490618e-07,2.73357227016066e-13,1.3473901647609255e-19
10,4,3,3.531065835454012e-05,0.0003565717503486,5.442638961070162e-07,2.7728620610171213e-13,1.6142728798064351e-19
10,4,4,3.4873422046874496e-05,0.0003659157757725,5.406543275957651e-07,2.7693357457814855e-13,1.6386224884341e-19
10,4,5,3.709046790092885e-05,0.0003851893663728,5.58732296128037e-07,2.786610488785074e-13,1.7916277256983696e-19
10,4,6,3.03891002580105e-05,0.0004251055681713,5.022482957124417e-07,2.729210676808559e-13,1.7132442746277116e-19
10,4,7,3.277608884816304e-05,0.0003436151139458,5.230181128972425e-07,2.751521465259407e-13,1.4822823668470051e-19
10,4,8,3.218597614603063e-05,0.0003877574162236,5.179553816520128e-07,2.746220667290591e-13,1.6356844863187644e-19
10,4,9,3.1850658549352435e-05,0.0003878072685408,5.150580164231383e-07,2.74314798880224e-13,1.6242163789790114e-19
10,4,10,3.7182990727618126e-05,0.0003721517225113,5.594748771978751e-07,2.7872999099676877e-13,1.7392997908333356e-19
