video,track_id,vf_mm_s,vr_mm_s,radius_um,charge_C,n,e_calc,error_pct
trial2.mov,4678,0.1408043593767158,0.18382101420132757,1.1121038467481046,1.754839158114458e-18,11,1.595308325558598e-19,-0.4177075181898798
trial2.mov,4728,0.1499676549865053,0.1312216981132576,1.1489714931745119,1.5738522510244098e-18,10,1.5738522510244098e-19,-1.7570380134575636
trial2.mov,4766,0.21164108865303843,0.15864038307784625,1.3722974423970051,2.5021404435008292e-18,16,1.5638377771880183e-19,-2.3821612242185832
trial2.mov,4821,0.15544548751578185,0.3864865541766122,1.1704750825272943,3.0937709330901307e-18,19,1.6283004911000687e-19,1.6417285330879348
trial2.mov,4868,0.12392629224936397,0.03749191374663609,1.0409117582242389,8.1295354592200215e-19,5,1.6259070918440044e-19,1.4923278304621956
trial2.mov,5090,0.15987779826925713,0.1027407178656645,1.187598848427728,1.5225845347075203e-18,10,1.5225845347075203e-19,-4.957269993288368
trial2.mov,5106,0.13683119046026182,0.08183433383511142,1.095746436993759,1.1634837936386255e-18,7,1.6621197051980365e-19,3.752790586643978
trial2.mov,5182,0.12614184634279677,0.1584085293365027,1.0505219366836518,1.447272410815731e-18,9,1.6080804564619233e-19,0.3795540862623826
trial2.mov,5210,0.1992722712109045,0.10268617712890152,1.330428288281321,1.9747387682144184e-18,12,1.645615640178682e-19,2.7225742933010024
trial2.mov,5214,0.161040136776737,0.3580607275863322,1.192050046378544,3.0215933409351023e-18,19,1.5903122847026853e-19,-0.7295702432780673
trial2.mov,5218,0.22533941210276728,0.02471994312965163,1.4172643096943742,1.748209309092674e-18,11,1.589281190084249e-19,-0.7939332032303931
trial2.mov,5264,0.0666522911051095,0.0749838274932482,0.7530664015400425,5.022196212190292e-19,3,1.6740654040634308e-19,4.498464673123024
trial2.mov,5295,0.08236318829413482,0.11669419899216803,0.8414269086742305,7.96763197421251e-19,5,1.593526394842502e-19,-0.5289391484081133
trial2.mov,5377,0.10460374652856004,0.09958449637521603,0.9531659704932429,9.354573801981995e-19,6,1.5590956336636659e-19,-2.6781751770495696
trial2.mov,5471,0.19080408066384044,0.14787735847680128,1.3010095820174776,2.1631176950129035e-18,14,1.5450840678663596e-19,-3.55280475241201
trial2.mov,5504,0.18138653868238927,0.2745752789536956,1.2675159317437847,2.8328177157912058e-18,18,1.5737876198840033e-19,-1.7610724167288816
trial2.mov,5507,0.21774389667095212,0.10711975356173062,1.3925051543120133,2.2293614641670836e-18,14,1.5924010458336312e-19,-0.5991856533313825
trial2.mov,5545,0.12647177267308118,0.16005359484622464,1.0519457916381711,1.4594340702640106e-18,9,1.6215934114044562e-19,1.2230593885428382
trial2.mov,5607,0.15839179306637569,0.12775022461818003,1.1818845548436663,1.6504754093927719e-18,10,1.6504754093927718e-19,3.0259306737061054
trial3.mov,2,0.2031874929352862,0.167574522106961,1.3438185300917447,2.4505020187059505e-18,15,1.6336680124706336e-19,1.9767798046587755
trial3.mov,476,0.11653914051249062,0.019044926127982517,1.0082331323184826,6.59864351303494e-19,4,1.649660878258735e-19,2.975086033628909
trial3.mov,965,0.050216113814005994,0.8974921437809399,0.6486043773134443,2.8497457671897875e-18,18,1.5831920928832152e-19,-1.1740266614722061
trial3.mov,1009,0.16058584234261758,0.3415724661142454,1.1903122333578127,2.9184416608542575e-18,18,1.6213564782523652e-19,1.2082695538305395
trial3.mov,1012,0.11969915912703466,0.24868816431281332,1.0223351273404442,1.819819667742822e-18,11,1.6543815161298381e-19,3.2697575611634297
trial3.mov,1014,0.2015582677252885,0.16806630725598806,1.3382623019881048,2.4323097487000843e-18,15,1.621539832466723e-19,1.2197148855632314
trial3.mov,1017,0.13423813750697622,0.264365056212149,1.0849427118777533,2.0985542613103773e-18,13,1.6142725087002903e-19,0.7660742010168737
trial3.mov,1018,0.17258626095059565,0.32535495092178984,1.2354231448838715,3.010606385700793e-18,19,1.584529676684628e-19,-1.090532042158052
trial3.mov,1034,0.13615710418362145,0.28170010597907746,1.09294782215871,2.2172813688200754e-18,14,1.5837724063000538e-19,-1.137802353305008
